"","Team","Total","Weekly Evaluation","Commitment","Attendance","Deliverables","Final Pitch","Data Collection and NSO","Appropriateness of Methodology","Stage","Type","mean_novelty","mean_relevance","mean_feasibility","mean_crowdsourcing","mean_presentation","stage_progressed","formation"
"1","T1: SDesiGn (Old name: Rhythm of Bamboos)",69.9259259259259,8.42592592592593,5,4.5,5,42,0,5,"Evaluate","Pre-formed",6.57142857142857,6.71428571428571,7.28571428571429,6.57142857142857,7.85714285714286,0,0
"2","T10: Water Warriors",74.4346153846154,5,5,4.25,3,42.1846153846154,5,5,"Accelerate","Pre-formed",6.69230769230769,6.69230769230769,6.61538461538461,7.92307692307692,7.23076923076923,1,0
"3","T11: Rights of Climate",43.4606060606061,3.33333333333333,0,2.5,2.5,35.1272727272727,0,0,"Evaluate","Algorithm",6.09090909090909,6.72727272727273,5.81818181818182,5.54545454545455,5.09090909090909,0,1
"4","T12: Women 4 Sustainable World",63.35,5,5,5,1.25,42.1,5,0,"Evaluate","Algorithm",6.91666666666667,7.33333333333333,7.16666666666667,6.58333333333333,7.08333333333333,0,1
"5","T13: Andapé Institute",79.7277777777778,7.27777777777778,5,4.65,5,42.8,5,5,"Accelerate","Pre-formed",7.25,7,6.5,7.33333333333333,7.58333333333333,1,0
"6","T14: Eco Winners",63.5606060606061,3.33333333333333,5,3,2.5,44.7272727272727,0,5,"Evaluate","Pre-formed",7.54545454545455,7.36363636363636,7.09090909090909,7.27272727272727,8,0,0
"7","T2: Flood Rangers",23.787037037037,4.03703703703704,0,3.5,1.25,0,5,5,"Evaluate","Algorithm",NA,NA,NA,NA,NA,0,1
"8","T3: TEAM FOILED",62.1166666666667,6.66666666666667,5,3.5,3.75,38.2,0,5,"Evaluate","Pre-formed",5.66666666666667,6.5,6.08333333333333,7,6.58333333333333,0,0
"9","T4: PAM",60.5904761904762,5.83333333333333,5,4.25,1.25,39.2571428571429,5,0,"Evaluate","Pre-formed",5.85714285714286,6.78571428571429,6.35714285714286,7.28571428571429,6.42857142857143,0,0
"10","T5: WOMER",83.2933333333333,6.63333333333333,5,4.5,5,47.16,5,5,"Refine","Algorithm",7.7,8,7.3,8.1,8.2,2,1
"11","T6: Women & Technology Against Climate Change",70.1455026455026,5.37407407407407,5,5,5,39.7714285714286,5,5,"Evaluate","Pre-formed",6.07142857142857,6.78571428571429,6.21428571428571,7,7.07142857142857,0,0
"12","T7: UpGet app - CitiCERN Project",69.8536111111111,5.17361111111111,5,5,5,39.68,5,5,"Evaluate","Pre-formed",6.93333333333333,7.06666666666667,6.2,6.66666666666667,6.2,0,0
"13","T8: Climate Gender Justice",75.9923076923077,6.3,5,5,5,39.6923076923077,5,5,"Accelerate","Algorithm",6.46153846153846,6.53846153846154,6.23076923076923,7.38461538461539,6.46153846153846,1,1
"14","T9: DonateWater",81.5714814814815,5.98148148148148,5,4.75,5,45.84,5,5,"Refine","Algorithm",7.26666666666667,8.26666666666667,7,8,7.66666666666667,2,1
