"","team","team_size","age_gap","background_span","mean_education_level","prior_sdg_experience","activity_slack","strength_org_slack","closeness_slack","fraction_component_known_before","collaborations_intra_team","burt_seek_advice","degree_inter_seek_dvice","team_activity_span","activity_regularity","mean_task_per_person"
"2","T1: SDesiGn (Old name: Rhythm of Bamboos)",2,2,4,2.5,1,NA,3,1.88498428591351,1,6,1,0,0.538461538461538,0.638888888888889,0.346153846153846
"3","T10: Water Warriors",3,6,4,2,0,19,7,2.83502461455655,0.666666666666667,3.33333333333333,1,0,0.576923076923077,0.617283950617284,0.384615384615385
"4","T11: Rights of Climate",2,7,4,2,1,23,19,2.39859086937726,0.5,4,1.00053777819864,1,0.692307692307692,0.818181818181818,0.480769230769231
"5","T12: Women 4 Sustainable World",2,9,3,2.5,0.5,11,4,1.7658577317284,1,1,1,0,0.384615384615385,0.740740740740741,0.480769230769231
"6","T13: Andapé Institute",3,1,7,1,0.666666666666667,19,13,3.43415836875358,1,6,1,0,0.730769230769231,0.824858757062147,0.435897435897436
"7","T14: Eco Winners",3,2,7,2,1,6,3,1.88498428591351,1,3.66666666666667,1.07680138408304,1,0.692307692307692,0.844444444444444,0.480769230769231
"8","T2: Flood Rangers",2,4,4,2,0.5,30,11,2.65692647076172,0.5,2,1.24852076124567,1,0.269230769230769,0,0.211538461538462
"9","T3: TEAM FOILED",3,8,3,1.66666666666667,0.333333333333333,1,1,0.867505364733373,1,5,1,0,0.692307692307692,0.839080459770115,0.538461538461538
"10","T4: PAM",3,0,5,1,0,2,3,1.88498428591351,0.666666666666667,2.5,1.05106507033214,1,0.384615384615385,0.8,0.435897435897436
"11","T5: WOMER",2,14,6,3,1,12,11,3.28681639003692,0.5,7,1.03281886632133,1,0.576923076923077,0.797385620915033,0.442307692307692
"12","T6: Women & Technology Against Climate Change",3,1,3,1,0,3,4,2.2088189931021,1,5.66666666666667,0.582174837014897,2,0.615384615384615,0.575757575757576,0.269230769230769
"13","T7: UpGet app - CitiCERN Project",2,3,4,2,0.5,11,7,2.45796330195046,1,7,0.855951557093426,1,0.5,0.819444444444444,0.403846153846154
"14","T8: Climate Gender Justice",3,15,6,1.66666666666667,0,18,10,2.38266539216071,0.333333333333333,7,1,0,0.538461538461538,0.80952380952381,0.442307692307692
"15","T9: DonateWater",4,5,4,2.25,0.75,203,59,2.68323373050617,0.5,5.5,0.941960294117647,2,0.653846153846154,0.939393939393939,0.41025641025641
